format: 0, nTracks: 1, division: 480
note_off - ch:00,  note:44,  vel:80 time:67
note_off - ch:00,  note:43,  vel:40 time:44
note_off - ch:00,  note:60,  vel:B0 time:96
note_off - ch:00,  note:11,  vel:03 time:64
note_off - ch:00,  note:46,  vel:11 time:2120
note_off - ch:00,  note:32,  vel:0F time:6208
note_off - ch:00,  note:3A,  vel:05 time:2093
note_off - ch:00,  note:40,  vel:13 time:6208
note_off - ch:00,  note:45,  vel:05 time:6208
note_off - ch:00,  note:48,  vel:40 time:72
note_off - ch:00,  note:2D,  vel:40 time:5
controller - ch: 00, cont: #40, value: 4D
controller - ch: 00, cont: #40, value: 59
controller - ch: 00, cont: #40, value: 7F
note_on  - ch:00,  note:48,  vel:3D time:151
note_on  - ch:00,  note:3C,  vel:40 time:18
note_on  - ch:00,  note:41,  vel:37 time:16
controller - ch: 00, cont: #40, value: 5D
note_on  - ch:00,  note:47,  vel:3F time:26
controller - ch: 00, cont: #40, value: 49
note_off - ch:00,  note:3C,  vel:40 time:1
note_off - ch:00,  note:48,  vel:40 time:1
note_off - ch:00,  note:41,  vel:40 time:0
controller - ch: 00, cont: #40, value: 38
note_on  - ch:00,  note:45,  vel:40 time:21
controller - ch: 00, cont: #40, value: 27
controller - ch: 00, cont: #40, value: 00
note_off - ch:00,  note:47,  vel:40 time:1
note_off - ch:00,  note:2C,  vel:80 time:44
note_off - ch:00,  note:40,  vel:03 time:69
note_off - ch:00,  note:3A,  vel:80 time:2115
note_off - ch:00,  note:43,  vel:40 time:37
note_on  - ch:00,  note:41,  vel:31 time:11
note_on  - ch:00,  note:50,  vel:90 time:80
note_on  - ch:00,  note:4B,  vel:01 time:67
note_on  - ch:00,  note:29,  vel:01 time:6208
note_on  - ch:00,  note:33,  vel:06 time:2091
note_on  - ch:00,  note:41,  vel:40 time:65
controller - ch: 00, cont: #40, value: 3D
controller - ch: 00, cont: #40, value: 44
note_off - ch:00,  note:2B,  vel:40 time:3
note_off - ch:00,  note:43,  vel:40 time:1
controller - ch: 00, cont: #40, value: 4B
controller - ch: 00, cont: #40, value: 56
controller - ch: 00, cont: #40, value: 6A
controller - ch: 00, cont: #40, value: 7F
controller - ch: 00, cont: #40, value: 5A
controller - ch: 00, cont: #40, value: 46
controller - ch: 00, cont: #40, value: 36
note_on  - ch:00,  note:3C,  vel:34 time:8
note_on  - ch:00,  note:43,  vel:37 time:9
controller - ch: 00, cont: #40, value: 1C
note_on  - ch:00,  note:3E,  vel:2D time:6
controller - ch: 00, cont: #40, value: 00
note_off - ch:00,  note:3C,  vel:40 time:5
note_off - ch:00,  note:43,  vel:40 time:7
note_off - ch:00,  note:3E,  vel:40 time:14
note_on  - ch:00,  note:45,  vel:2E time:204
note_on  - ch:00,  note:55,  vel:90 time:85
note_on  - ch:00,  note:2C,  vel:06 time:59
note_off - ch:00,  note:2D,  vel:40 time:2110
note_on  - ch:00,  note:39,  vel:0D time:2115
note_on  - ch:00,  note:45,  vel:40 time:69
note_on  - ch:00,  note:33,  vel:B0 time:51
note_on  - ch:00,  note:25,  vel:11 time:64
note_on  - ch:00,  note:37,  vel:14 time:6208
note_on  - ch:00,  note:3F,  vel:15 time:6208
note_on  - ch:00,  note:41,  vel:13 time:6208
note_on  - ch:00,  note:44,  vel:12 time:6208
note_on  - ch:00,  note:3E,  vel:40 time:62
controller - ch: 00, cont: #40, value: 48
controller - ch: 00, cont: #40, value: 4F
controller - ch: 00, cont: #40, value: 59
controller - ch: 00, cont: #40, value: 6B
controller - ch: 00, cont: #40, value: 7F
note_off - ch:00,  note:3B,  vel:40 time:3
note_off - ch:00,  note:63,  vel:80 time:99
note_off - ch:00,  note:40,  vel:82 time:67
controller - ch: 00, cont: #40, value: 62
controller - ch: 00, cont: #40, value: 4C
controller - ch: 00, cont: #40, value: 3B
note_on  - ch:00,  note:29,  vel:38 time:0
note_on  - ch:00,  note:43,  vel:40 time:1
controller - ch: 00, cont: #40, value: 23
controller - ch: 00, cont: #40, value: 00
note_off - ch:00,  note:43,  vel:40 time:5
note_off - ch:00,  note:29,  vel:40 time:1
note_off - ch:00,  note:58,  vel:90 time:88
note_off - ch:00,  note:3C,  vel:80 time:69
note_off - ch:00,  note:45,  vel:40 time:52
note_off - ch:00,  note:48,  vel:90 time:72
note_off - ch:00,  note:38,  vel:80 time:71
note_off - ch:00,  note:47,  vel:40 time:32
